OperatorInfo;UsageTypeTitle;AddressInfo/Title;AddressInfo1;AddressInfo2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;ConnectionType;ConnectionAmps;ConnectionVoltage;ConnectionPowerKW
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Sant Joan;Ajuntament de Sant Joan;;39595671;3037351;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Caeb;Calle Gabriel Alzamora Junto A Parking de Conforama;;3958829;2674955;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Villena;Plaza del Mercado Central â€“ Calle Jorge Guillen S/NÂº;;38639806;-871083;1;Mennekes (Type 2);32;230;7
(Business Owner at Location);Public;Parking Centro Comercial Holea;Calle Trinidad y Tobago;;372722997;-6.92073E+14;2;CEE 7/4 - Schuko - Type F;16;230;3.6
Tesla Motors (Worldwide);Public - Membership Required;El Corte Ingles Castellana;Calle de Raimundo Fernández Villaverde;;40446884;-369471;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Comunidad General Parque Comercial Talavera;Carretera N-V;;3996643;-4796442;2;Tesla (Model S onwards);32;400;22
(Business Owner at Location);Private - For Staff, Visitors or Customers;Parador de Oropesa;Parador Virrey de Toledo;;399194;-5.175E+14;1;CEE 5 Pin;32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Aguadulce Supercharger;Av. Aguadulce;;37256691;-4986075;8;Tesla Supercharger;;;120
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Murcia;Avenida Teniente Flomesta;La Catedral;37983045;-1130235;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Esporles;Ayuntamiento de Esporles;;39663743;2580931;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Binissalem (escola Graduada);Ayuntamiento Binissalem (escola Graduada);;39690056;2839778;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Camp Futbol Mancor de la Vall;Camp Futbol Mancor de la Vall;;39751727;2873459;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Universitat de les Illes Balears;caminal de Formentera;Son Sardina;39639721;264795;3;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Son Servera;Carrer Joan Alcover, 8;;39612894;3361737;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de LlubÃ­;Ajuntament de LlubÃ­;;39698671;3010252;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Neumaticos Borreda;C/ Madeixes 17 46870;;38827029;-585878;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Parking Banyalbufar;Carrer Major;;39687464;2514367;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Canillas de Aceituno;Plaza la Constitucion NÂº 11 29716;;36873328;-4081745;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayutamiento de Cendea de Galar;PolÃ­gono Galaria (parking Mcdonald's);;42786285;-1631654;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Teatro Mancor de la Vall;Teatro Mancor de la Vall;;39748051;2872901;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Esporles;Ayuntamiento de Esporles;;39668211;2579558;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Aj Sant LlorenÃ§ des Cardassar;Aj Sant LlorenÃ§ des Cardassar;;39586619;3319587;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Poligono Industrial el Pla;Av. del Textil 41 - 46870;;38827176;-588583;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament Dâ€™alcoi;Ajuntament Dâ€™alcoi;;38695194;-473444;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Polideportivo Es Mercadal;C/ DR. Llanso S/N 07740 Polideportivo;;39992642;4093892;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament Santa EugÃ¨nia;Ajuntament Santa EugÃ¨nia;;39623603;2843103;2;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Sineu;Ajuntament de Sineu;;39642549;3014859;2;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Binissalem (Polideportivo);Ayuntamiento Binissalem (Polideportivo);;39685722;2838056;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;C.C. Parque Santiago;C.C. Parque Santiago;;28059068;-16720848;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Fund. Balear d'Innovació I Tecnologia;Avda. d'Es Camp Verd P37-46;;39932564;4151126;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Poligono Industrial el Altet;Poligono Industrial el Altet;;38858808;-583101;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Conseill Insular;Conseill Insular;;38922743;1428006;2;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Fornells;Ayuntamiento Fornells;;4.00548E+13;4.12959E+12;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Valldemossa;Ajuntament de Valldemossa;;39711916;2618089;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Aiecs Castellon;Aiecs Castellon;;39967254;-55581;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Servi-Car Ontinyent;C/ de la Llana 9 46870 (p.i. el Pla);;38826851;-587263;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Viana;Ayuntamiento de Viana;;42516121;-237187;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Lloseta;Ajuntament de Lloseta;;39720716;2865758;3;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento San Antonio;Ayuntamiento San Antonio;;38961704;1397827;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Consell;Carrer Antonio Barceló GarcÃ­a de Paredes;;39663694;2804833;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Argente Balaguer;Argente Balaguer;;39193323;-430038;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Aeza Zamora;Aeza Zamora;;41506565;-5736246;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Celmis Global Importadora S.L.;Eduardo Westerdahl Gasolinera 38206;;28486029;-16324064;1;CHAdeMO;;;30
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Binissalem;Calle Guillem MartÃ­ 10;;39687158;2844913;2;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Asemiet;Asemiet;;39503393;-6365491;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Estellencs;Ayuntamiento de Estellencs;;39653597;248319;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Conseill Insular;Conseill Insular;;39077246;1514169;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Consell ( Davant Poliesportiu);Ayuntamiento de Consell ( Davant Poliesportiu);;3966991;2807878;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Santa Maria del Cami;Ajuntament de Santa Maria del Cami;;39647553;2771298;2;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Calsi Material ElÃ¨ctric;Calsi Material ElÃ¨ctric;;41506691;2148222;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Cardiel de los Montes;Ayuntamiento Cardiel de los Montes;;40062732;-4652987;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Asturias Energia;Parking del Sablón;;43422132;-4754799;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Es Mercadall;Ayuntamiento Es Mercadall;;3.99872E+13;4.09203E+13;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Aj Sant LlorenÃ§ des Cardassar;Aj Sant LlorenÃ§ des Cardassar;;39609923;3284206;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Bunyola;Carrer de les Vinyetes 2;;39697459;2698502;2;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento San Antonio ( Polideportivo Can Coix);Ayuntamiento San Antonio ( Polideportivo Can Coix);;3899492;1308309;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Hotel Arbe;Hotel Arbe;;43304356;-2363677;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament d'Escorca;Parking Monasterio de Lluc;;39820809;2884291;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Binissalem (casa de Cultura);Ayuntamiento Binissalem (casa de Cultura);;39685611;284475;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Alboraya;Ayuntamiento de Alboraya;;3949975;-346361;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayto Miramar;Avinguda del PaÃ­s Valenciá;Platja;38948338;-141143;1;CHAdeMO;;;20
Fenie EnergÃ­a (Spain);Public - Membership Required;Eatim Jesus Pobre;C/ Diagonal S/N 03749;;38798284;86162;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Aj Sant LlorenÃ§ des Cardassar;Aj Sant LlorenÃ§ des Cardassar;;39580984;3372523;2;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Universitat PolitÃ¨cnica de ValÃ¨ncia;Universitat PolitÃ¨cnica de ValÃ¨ncia;;38694349;-476981;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Apremie;Calle Industrias 2a;;41625599;-4773881;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Aguilar de Campoo;Barrio Jose Gomez Briz S/N;;42795425;-426558;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Camp Futbol Bunyola;Campo de FÃºtbol;;39686749;2698959;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Inel;Av. del TÃ¨xtil, 67;;38830947;-575768;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Ses Salines;Avinguda Primavera Esquina Con C/ Pou d'En Verdera de la ColÃ²nia de Sant Jordi;;39319881;2991088;3;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament Dâ€™alcoi-Bautista Sanz Domenech;Ajuntament Dâ€™alcoi;;38706855;-469694;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Titsa. Intercambiador Laguna;Titsa. Intercambiador Laguna;;28480509;-16317005;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento San Antonio;Paseo de la Mar NÂº6;;38978643;1301133;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento la Pobla de Vallbona;Ayuntamiento la Pobla de Vallbona;;39590623;-550021;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Salinas de Pamplona;Salinas de Pamplona;;42753025;-164973;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Satem;Satem;;41115743;1148285;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento San Antonio;Ayuntamiento San Antonio;;38978634;1299041;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament Dâ€™alcoi-Electronova Alcoy;Ajuntament Dâ€™alcoi;;38696341;-48446;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Moixent;Ayuntamiento de Moixent;;38874123;-752036;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Biblioteca Can Picafort;Biblioteca Can Picafort;;397701646;31438018;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Sencelles;Ajuntament de Sencelles;;39639568;286045;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Femete;Calle Mazo;;28456881;-16301479;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Aparcamiento Urbanización de Santo Tomas;Aparcamiento en la Urba. de Santo Tomas Parcela 4h Y 5h 07749;;39915402;4039711;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Parking Restaurante Sonamar;Parking Restaurante Sonamar;;3966321;2677356;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Aparcament 2 Valldemossa;Aparcament 2 Valldemossa;;39711042;2621456;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament de Deia;Ajuntament de Deia;;39750131;2647158;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Electricidad Soma;Electricidad Soma;;4166575;603478;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Mercado Central Melilla;Mercado Central Melilla;;35295436;-2943817;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayto. San Antonio (estación de Autobuses);Ayto. San Antonio (estación de Autobuses);;38981509;1307343;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Hotel Hard Rock;Avenida Adeje 300;Playa Paraiso;28121219;-1677546;8;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Electricidad Juan Bernabeu;Electricidad Juan Bernabeu;;38612524;-588866;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament Sa Pobla;PlaÃ§a del Mercat 61;;39771219;3027445;2;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament Dâ€™alcoi-Enilec;Ajuntament Dâ€™alcoi;;38700771;-479088;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Son Servera;Ayuntamiento de Son Servera;;3960424;3379626;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Aparcament 3 Valldemossa;Aparcament 3 Valldemossa;;39711384;2621946;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Poliesportiu Bunyola;Poliesportiu Bunyola;;3968685;2700474;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Electrotecnia Monrabal;Pi Blanc NÂº3 Valencia;;39431379;-380577;1;Mennekes (Type 2);32;230;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Camp Futbol Alaró;Camp Futbol Alaró;;39702567;2794149;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento de Falces;Ayuntamiento de Falces;;42387784;-1793834;1;Mennekes (Type 2);16;230;4
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament Ontinyent-Paduana;Ajuntament Ontinyent;;38826015;-603576;1;Mennekes (Type 2);32;230;2.3
Fenie EnergÃ­a (Spain);Public - Membership Required;Estación de Servicio Quintanar;C/ PrÃ­ncipe 170;;39333848;-1928957;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Can Dameto;Can Dameto;;39758878;2982512;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Bodegas Vivanco;Bodegas Vivanco;;4253985;-2778515;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ajuntament d'Inca;Ajuntament d'Inca;;39720875;2907357;2;Mennekes (Type 2);32;400;22
(Unknown Operator);(Unknown);REYSE Automatizacion;Calle Polonia, 180;;378983061;-4.73521E+14;1;Mennekes (Type 2);10;400;7
Fenie EnergÃ­a (Spain);Public - Membership Required;Fenie 0168;Av. Alfonso X El Sabio, 27;;383467361;-4.88277E+13;1;CEE 7/4 - Schuko - Type F;10;230;2.3
(Unknown Operator);Public;Intercambiador de Santa Cruz;Av. Tree de Mayo;;2.84596E+14;-1.62533E+14;6;Europlug 2-Pin (CEE 7/16);;;
(Unknown Operator);Public - Pay At Location;Hotel Restaurante Segobriga;A-3. Km 111;;399029901;-2.71536E+14;2;Mennekes (Type 2);32;230;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Ayuntamiento Carrión de los Condes;Plaza Condes de Carrión;;423375321;-4.60451E+14;1;CEE 7/4 - Schuko - Type F;12;230;2.3
MELIB (ES);Public - Membership Required;Sant Miquel;Carrer de Sant Miquel, 77;;395766655;2.65213E+14;4;Mennekes (Type 2);32;400;7.4
(Unknown Operator);(Unknown);Rosselló Parking;Carrer del Rosselló, 231;;413939345;2.158E+14;2;CEE 7/4 - Schuko - Type F;16;;2.5
MELIB (ES);Public - Membership Required;Mercat de l'Olivar;Carrer de Josep Tous i Ferrer, 7;;395735348;2.65362E+14;2;CEE 7/4 - Schuko - Type F;12;230;2.76
Tesla Motors (Worldwide);Public - Membership Required;Gran Hotel Havana;Gran Via de les Corts Catalanes;;4139277;2171705;1;Tesla (Model S onwards);32;230;14
Tesla Motors (Worldwide);Public - Notice Required;Arantza Hotela;Aientsa Auzoa;;43189303;-1743912;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Termas de Cuntis;Rua Do Balneario;Portodegómez;42633333;-8563889;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Urbil;Poligono Asteasuain;;43275393;-2021506;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Mas Mariassa;Carretera Santa Marina T-311;;41045968;857343;1;Tesla (Model S onwards);32;230;14
Tesla Motors (Worldwide);Public - Membership Required;Guarromán Supercharger;SN PolÃ­gono Industrial de Guadiel;;38143036;-3722849;10;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Public - Notice Required;Hotel Senator Mar Menor Golf & Spa Resort;Avda Principe Felipe;;37728105;-870221;1;Tesla (Model S onwards);32;230;17
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Albacenter;Calle Alcalde Conangla;;38990408;-1846801;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Masia Urbisol & Spa;N-141C;;41802357;2021021;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Hotel la Garriga de Castelladral;Ctra de Suria A Castelladral;;41868135;1762399;1;Tesla (Model S onwards);32;230;17
Tesla Motors (Worldwide);Public - Membership Required;Marjal Guardamar Camping & Resort;Marjal Guardamar Camping & Resort;;38108849;-656044;1;Tesla (Model S onwards);32;230;10
Tesla Motors (Worldwide);Public - Membership Required;Hotel Spa la Casa del Rector;C/ Pedro Oviedo;;38888267;-3717387;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Rivabellosa Supercharger;Poligono Industrial Arasur;;42701175;-291944;8;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Intu Asturias;Autovia A66;;433900702;-58050691;1;Tesla (Model S onwards);32;230;17
Tesla Motors (Worldwide);Public - Membership Required;Hacienda Zorita Wine Hotel;Crta.salamanca-Ledesma;;41040595;-5757905;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;El Corte Ingles Sevilla Este;Carretera Sevilla - Malaga;;37387608;-593937;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Almadraba Park Hotel;Avinguda Diaz Pacheco;;42242349;3203249;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Tuca - RV Hotel Turistics;Carretera de Baqueira;;42697085;805363;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Marjal Costa Blanca Camping & Resort;Ap-7;;38181078;-811185;1;Tesla (Model S onwards);32;230;17
Tesla Motors (Worldwide);Public - Membership Required;Lobito de Mar;Av. Bulevar PrÃ­ncipe Alfonso de Hohenlohe;;36507886;-4916903;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Mérida Supercharger;7 PolÃ£Â­gono Industrial el Prado;;38922231;-6375038;10;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Public - Membership Required;Rafaelhoteles Madrid Norte;Avenida de Barajas;;40534692;-3621364;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Parador de Lorca;Calle del Castillo;;37677944;-1704149;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial Sevilla Factory;Ctra Nacional Iv Madrid-Cadiz;;37288794;-594185;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel H10 Puerta de Alcalá;Calle de Alcala;;40422187;-368116;1;Tesla (Model S onwards);32;230;7
(Unknown Operator);(Unknown);Ses Salines City Hall;Carrer la Pau, 2;;393395373;3.05373E+14;2;CEE 7/4 - Schuko - Type F;16;230;3.3
Fenie EnergÃ­a (Spain);(Unknown);Football Field Es Migjorn;Av. de la Mar, 2B;;399453012;4.05034E+14;1;Mennekes (Type 2);32;230;7.2
IBIL (Es);Public - Membership Required;Valle de Mena City Hall;Calle Félix RodrÃ­guez de la Fuente, 2L;;430982156;-3.2834E+14;2;Mennekes (Type 2);;230;
(Unknown Operator);(Unknown);Mercadel Theatre;Carrer Lepanto, 4;;399864228;40926101;2;CEE 7/4 - Schuko - Type F;10;230;2.3
(Unknown Operator);(Unknown);Carrer del Rosari;Carrer del Rosari 25;;400547891;4.12965E+14;2;CEE 7/4 - Schuko - Type F;10;230;2.3
(Unknown Operator);(Unknown);Petra;Carrer Romeria, 2;;396087576;3.11124E+14;1;CEE 7/4 - Schuko - Type F;16;200;3.5
(Unknown Operator);Public - Membership Required;Eivissa Council;Carrer de l' Arxiduc LluÃ­s Salvador, 3;;389076277;1.42768E+14;1;CEE 7/4 - Schuko - Type F;13;230;2.8
(Unknown Operator);(Unknown);Manacor;PlaÃ§a del Rector RubÃ­, 1;;395688493;3.21128E+14;1;CEE 7/4 - Schuko - Type F;16;230;3.49
(Unknown Operator);Public - Membership Required;ConstantÃ­ City Hall;Carrer Barcelona, 10;;4115164;1.21421E+14;2;Mennekes (Type 2);32;400;22
(Unknown Operator);Public;Granja Soldevila;Granja Soldevila, CamÃ­ de la Granja, s/n;;415267886;2.18563E+14;4;Mennekes (Type 2);;;22
Tesla Motors (Worldwide);Public;Zaragoza Supercharger;Estación de Servicio EL CISNE, A2. Km 309;;416253186;-1.01008E+14;10;Tesla Supercharger;;;135
IBIL (Es);Public - Membership Required;Segovia Bus Station;Plaza la Estación de Autobuses, 2;;409447496;-4.12183E+14;2;Mennekes (Type 2);32;230;7.3
(Unknown Operator);Public - Membership Required;Taco Station;TF-28;;284472476;-162956443;1;Mennekes (Type 2);;;
(Unknown Operator);(Unknown);Esporles;Carrer Cotoner, 17;;396681086;2.57961E+14;1;Mennekes (Type 2);;;
(Unknown Operator);Public - Membership Required;Terrassa Funerary;Carretera de Montcada, 779A;;415578474;2.04248E+14;1;CEE 7/4 - Schuko - Type F;16;230;3.68
(Unknown Operator);(Unknown);El Punt Ribera;PlaÃ§a Crta Albalat, 9B;;3916461;-4.2767E+14;3;CEE 7/4 - Schuko - Type F;16;230;3.45
(Unknown Operator);Public - Notice Required;Leroy Merlin Sant Cugat;Parc. Activ. EconÃ²miques, Carretera de RubÃ­, s/n;;414814933;2.0453E+14;3;CEE 7/4 - Schuko - Type F;10;220;2.2
(Unknown Operator);(Unknown);Arroyosur Mall;Calle Primavera, 1;;403008455;-3.77623E+14;11;CEE 7/4 - Schuko - Type F;16;230;3.7
(Unknown Operator);(Unknown);Isla Azul Mall;Calle Calderilla, 1;;403639971;-3.73749E+14;10;CEE 7/4 - Schuko - Type F;14;230;3.3
(Unknown Operator);Public - Notice Required;Carrefour Parking;RÃºa Dos Emigrantes, 1;;423214914;-7.87692E+14;1;Mennekes (Type 2);32;400;12.8
Fenie EnergÃ­a (Spain);Public - Membership Required;La Villa Mall;Autopista del Nte., 36;;283959791;-165483601;1;Mennekes (Type 2);32;230;7
(Unknown Operator);Public;El Restón Mall;Av. del Mar Mediterráneo, 3;;401842308;-3.67937E+14;2;Blue Commando (2P+E);;230;
(Unknown Operator);Public;Rio Shopping Mall;Calle Me Falta un Tornillo, 3;;416308579;-4.78795E+14;8;CEE 7/4 - Schuko - Type F;16;230;3.68
(Unknown Operator);Public;Ciudad de Elche Mall;Av. de Ä¾ Alcalde Ramón Pastor, 85;;382588771;-7.13254E+13;15;CEE 7/4 - Schuko - Type F;10;230;2.3
Fenie EnergÃ­a (Spain);Public - Membership Required;El Mirador Mall;Av. Santa Rita de Casia, 55;;28031955;-15403461;1;Mennekes (Type 2);32;230;7
(Unknown Operator);Public - Notice Required;Parque Corredor Mall;Ctra. Ajalvir Centro Comerci, s/n;;404739048;-3.47926E+14;1;Mennekes (Type 2);16;230;3.68
(Unknown Operator);Public;Gran Jonquera Mall;Avinguda de GalÃ­cia 22-28;;42402513;2.88105E+14;4;CEE 7/4 - Schuko - Type F;16;230;3.68
(Unknown Operator);(Unknown);Sant Feliu Mall;Ctra. Sansón, 4;;413878662;2.0404E+14;14;Mennekes (Type 2);16;220;3.68
(Unknown Operator);(Unknown);El Corte Ingles Alcalá de Henares;Av. Juan Carlos I, s/n;;414223872;2.22121E+14;10;CEE 7/4 - Schuko - Type F;12;230;2.76
(Unknown Operator);(Unknown);OUTLETUI;RÃºa 5;;420406748;-8.66043E+14;1;CEE 7/4 - Schuko - Type F;16;230;3.68
(Unknown Operator);Public;Aldi Pego;Av. Oliva, 25;;3884854;-1.1417E+14;4;Mennekes (Type 2);16;230;3.6
